city,season,month,metric,family,live_data_version,prior_data_version,training_cutoff,stored_bias_c,stored_sd_c,stored_n_live,stored_n_prior,stored_n_paired,stored_paired_delta_c,stored_code_commit,stored_fit_signature_hash,stored_authority,status,reason,recomputed_bias_c,recomputed_sd_c,recomputed_n_live,recomputed_n_prior,recomputed_n_paired,recomputed_paired_delta_c,coverage_months_observed,delta_bias_c,delta_sd_c
Sao Paulo,SON,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.5168336999874934,1.6080488309688001,13,66,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,a807df41e842b6b8,STAGING,INSUFFICIENT_PRIOR,n_prior=0<5,,,0,0,0,,,,
Seattle,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.09411827407507814,0.8853255755304527,0,76,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,d1a8b5d52265a594,STAGING,REPRODUCIBLE,within_tolerance,0.09411827407507814,0.8853255755304527,0,76,0,,"1,2,12",0.0,0.0
Seattle,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.07090540547332735,2.2445676176300693,13,65,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,08b5abd9e4b46da6,STAGING,REPRODUCIBLE,within_tolerance,-0.07090540547332735,2.2445676176300693,13,65,1,-3.370172538009342,"3,4,5",0.0,0.0
Seoul,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.7382353340098834,1.447538080546503,0,74,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,7a596ca81091a4ea,STAGING,REPRODUCIBLE,within_tolerance,-0.7382353340098834,1.447538080546503,0,74,0,,"1,2,12",0.0,0.0
Seoul,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.657522472195959,2.2707116105233958,13,66,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,971b649b243b7d4d,STAGING,REPRODUCIBLE,within_tolerance,-1.657522472195959,2.2707116105233958,13,66,2,-1.3763264674766393,"3,4,5",0.0,0.0
Seoul,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-28,1.3837603201274227,3.0087398058001176,1,9,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,891822cf9bfcb8b8,STAGING,REPRODUCIBLE,within_tolerance,1.3837603201274227,3.0087398058001176,1,9,0,,"4,5",0.0,0.0
Shanghai,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-3.1537577691987435,1.415831955439885,14,54,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,9a7f438ede3d953a,STAGING,REPRODUCIBLE,within_tolerance,-3.1537577691987435,1.415831955439885,14,54,1,4.407301061293662,"3,4,5",0.0,0.0
Shanghai,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-28,0.0,3.0,0,4,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,f9493cb44e27e0a5,STAGING,INSUFFICIENT_PRIOR,n_prior=4<5,,,0,4,0,,"4,5",,
Shenzhen,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.14564777755926592,1.4523989008873148,12,47,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,f5ea049404eb1a1e,STAGING,REPRODUCIBLE,within_tolerance,-0.14564777755926592,1.4523989008873148,12,47,2,-0.1932099286247695,"3,4,5",0.0,0.0
Singapore,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.2225272207548874,0.8721754223906972,14,54,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,a6d0da842a1c638c,STAGING,REPRODUCIBLE,within_tolerance,-1.2225272207548874,0.8721754223906972,14,54,1,-0.28797403971354285,"3,4,5",0.0,0.0
Taipei,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.6934428420721066,1.4609258893534633,14,50,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,a5058def77015ec6,STAGING,REPRODUCIBLE,within_tolerance,-1.6934428420721066,1.4609258893534633,14,50,1,0.49546305338541785,"3,4,5",0.0,0.0
Tel Aviv,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.3947604243791456,1.6875530862502692,12,55,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,e12f86ee9acc4a39,STAGING,REPRODUCIBLE,within_tolerance,-1.3947604243791456,1.6875530862502692,12,55,0,,"3,4,5",0.0,0.0
Tokyo,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.4628744798547848,1.92770543090542,14,60,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,ef5d5841cd49a098,STAGING,REPRODUCIBLE,within_tolerance,-1.4628744798547848,1.92770543090542,14,60,5,-0.1413335463579962,"3,4,5",0.0,0.0
Tokyo,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-28,0.0,3.0,2,3,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,105d9e9b96ff610f,STAGING,INSUFFICIENT_PRIOR,n_prior=3<5,,,2,3,0,,"4,5",,
Toronto,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,1.1166294511128836,2.3962700883216543,0,75,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,557235737d400ea6,STAGING,REPRODUCIBLE,within_tolerance,1.1166294511128836,2.3962700883216543,0,75,0,,"1,2,12",0.0,0.0
Toronto,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.9106351964613744,1.7474482026140046,14,67,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,d6665d45b73e403e,STAGING,REPRODUCIBLE,within_tolerance,-1.9106351964613744,1.7474482026140046,14,67,1,0.022900749655329733,"3,4,5",0.0,0.0
Warsaw,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.5373266107895567,1.8135961322598184,15,48,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,2661670ee8dc73b9,STAGING,REPRODUCIBLE,within_tolerance,-0.5373266107895567,1.8135961322598184,15,48,0,,"3,4,5",0.0,0.0
Wellington,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-3.0777023801616363,1.3931780708404269,0,38,,,ff878ab5b46b4d317cb2a49f6daf2425af7020a5,d8859fa9cc15cdec,STAGING,REPRODUCIBLE,within_tolerance,-3.0777023801616363,1.3931780708404269,0,38,0,,"1,2",0.0,0.0
Wellington,JJA,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-3.0777023801616363,1.3931780708404269,0,38,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,42ddd7eba288b039,STAGING,INSUFFICIENT_PRIOR,n_prior=0<5,,,0,0,0,,,,
Wellington,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.8625163132995084,0.7316973255891898,15,65,,,ff878ab5b46b4d317cb2a49f6daf2425af7020a5,59ebbc0e5e21e106,STAGING,REPRODUCIBLE,within_tolerance,-1.8625163132995084,0.7316973255891898,15,65,1,0.13976452397365158,"3,4,5",0.0,0.0
Wellington,SON,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.8625163132995084,0.7316973255891898,15,65,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,5bdecfc2bec771c9,STAGING,INSUFFICIENT_PRIOR,n_prior=0<5,,,0,0,0,,,,
Wuhan,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.4239429060519421,1.5498216989285432,14,46,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,3a09be6875c5d067,STAGING,REPRODUCIBLE,within_tolerance,-0.4239429060519421,1.5498216989285432,14,46,1,-0.8287383434819233,"3,4,5",0.0,0.0
